"video_id","uploader","interval","category","length","views","rating","total_rating","comments","related_id"
"bwWEfrRF3fg","dxmagikarp","589","Entertainment","50","833965","4.62","378","173","4a3hsymITZw"
"dlbJToqI3nU","Palmie01","988","Music","180","53808","4.91","155","118","FKrx-4Awe70"
"5MLTUixA994","chococat89","667","Music","202","44411","4.66","38","34","FHCxU4lStlw"
"5bBoapO276U","slpyliltrtle","312","Comedy","244","720030","4.6","3327","2956","iPrnduGtgmc"
"VrlB006gQmw","Reyalp","774","Music","333","151506","4.65","437","398","bMVEPv2YAvw"
"#NAME?","screziofolle","708","Music","284","3239","3.14","7","18",""
"ga7JF25MVs4","nacholibre0123","1097","Music","350","4651","4.12","34","98","FLSAZQRZu6c"
"MvuR_-kCd_U","TurksFucker","1128","Music","270","73","5.0","1","0",""
"CO8rs71LR1Q","GrMaggot","847","Music","365","1031","4.56","9","14","CzjaLKsjSn8"
"#NAME?","sixouncebodom","823","Music","478","408","5.0","2","0",""
"N5rCWVSH5cw","HorrorQueen","838","Music","229","11132","4.87","39","39","86PWTQW06D4"
"h0nbJKtS23o","ArtisanNewsService","813","News & Politics","96","455773","4.74","764","1046","i6kicf-4ZH0"
"ZamE96KIkQI","BVMDeathMetal","920","Music","280","22585","4.84","86","62","voEdxm1gBiI"
"A-MyJB0lOZs","doom3236","1075","Music","109","59","5.0","1","0",""
"JxBXRaSoddA","GodzOfThunder","1106","Music","335","1490","3.48","21","53","dC0ZCuqEt3I"
"qQV0eUXR5Xk","energizerman38","770","Music","265","510","2.25","4","1",""
"UqUvnWz6Wsw","dvaucher7","930","Entertainment","266","793","4.33","6","8",""
"ihTzIy_yWyk","KrispyMovieGuy","1035","People & Blogs","283","702","2.17","6","2",""
"LfyO93hiiMQ","kluczewsky","572","Autos & Vehicles","46","73019","4.16","37","29","5UCTn3jeMwc"
"rH9d1kyaKjg","artfibrasmoto","852","People & Blogs","39","4615","0.0","0","0","7xhckmiyKcg"
"PkJJ5bMzo70","ale2872","1016","Autos & Vehicles","295","23067","4.56","18","19","cZyIayCNqK4"
"5yRebEYbAs4","kiwiSnabors","989","Autos & Vehicles","64","1151","5.0","2","0",""
"xBFSKUVpCt8","marcioheleno","756","Autos & Vehicles","277","49365","3.31","16","32","EBkic0TZ8as"
"55WndIuPMZI","jedsonbr","735","Autos & Vehicles","13","6659","3.0","2","1","tSazv1u-2aI"
"#NAME?","nkncba","985","Sports","433","34869","4.8","15","18","ndimWC6x8v4"
"w8dfZRNFlt4","WrkX51R","1132","Music","275","143","0.0","0","0","Xg6XUnfBOf4"
"Gy0qSWEC5tU","suznet","740","Autos & Vehicles","211","12100","2.86","7","4",""
"Ok_gO1DeM3M","hidrosnino","1045","Autos & Vehicles","68","988","5.0","1","0",""
"OeMvsxqg2NM","ssoler01","1131","Autos & Vehicles","60","141","0.0","0","0",""
"AYhxGOyqVAU","kpjotr","847","Autos & Vehicles","44","2976","2.6","5","1","0-pFmlkZUJw"
"0vjJVSyQJ6g","Charidemus","953","Autos & Vehicles","42","944","2.33","3","2","oMdXXlamRp8"
"HcgFFRXqdjQ","speru1990","1093","Autos & Vehicles","16","190","5.0","2","1",""
"TN3VF8jLVbs","jedsonbr","936","Autos & Vehicles","57","4716","5.0","1","6","5UCTn3jeMwc"
